ID,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus
1.70233E+12,11-12-2023 17:14,11-12-2023 17:24,WvFZ8Ti5ElpVEbBOnw7tS,0.47
1.70233E+12,11-12-2023 17:14,11-12-2023 17:25,kBkdk77Z5Ewy1pcuAeIX4,0.89
1.70233E+12,11-12-2023 17:13,11-12-2023 17:18,DttB_9jYpz_7ivb9I0lFl,1
1.70233E+12,11-12-2023 17:14,11-12-2023 17:22,-6269OOjdAiFKdheW5OXA,0.67
1.70233E+12,11-12-2023 17:14,11-12-2023 17:30,HU3ffX2lPgh8YCciW20vo,0.27
1.70233E+12,11-12-2023 17:14,11-12-2023 17:23,0Ky223YCtMlqrsDwhDplm,0.95
1.70233E+12,11-12-2023 17:14,11-12-2023 17:46,EZO8pMyQTynrFZahJMp_X,1
1.70233E+12,11-12-2023 17:14,11-12-2023 17:27,FqmzU5XJnwmcja1QDwwUN,0.5
1.70233E+12,11-12-2023 17:14,11-12-2023 17:36,#NAME?,0.49
1.70233E+12,11-12-2023 17:14,11-12-2023 17:21,bWedP5lQoC3gpLWSue-6Z,0
1.70233E+12,11-12-2023 17:14,11-12-2023 17:20,U0IL3WczQC0sZIWwPMEg5,0
1.70233E+12,11-12-2023 17:17,11-12-2023 17:25,9IfUl77XNVQY8MdxV0mC4,0.98
1.70233E+12,11-12-2023 17:14,11-12-2023 17:22,ZzvBj9D8Yk3i0DvgJ-sgX,0.89
1.70233E+12,11-12-2023 17:14,11-12-2023 17:19,TaWO4K_xFo0lImeM4J-r6,0.94
1.70233E+12,11-12-2023 17:15,11-12-2023 17:23,WPDwPHFJgfKjsM48L6kjn,0.77
1.70233E+12,11-12-2023 17:14,11-12-2023 17:22,TseDEduXqXyyylOQDHhJ_,1
1.70233E+12,11-12-2023 17:24,11-12-2023 17:36,1nkWVfQCOAmOG5JSqeKGx,1
1.70233E+12,11-12-2023 17:15,11-12-2023 17:21,YhJPlbGWVF858VZB7n8BP,0.97
1.70233E+12,11-12-2023 17:15,11-12-2023 17:26,3NIyWMOI4ipKZ015mFLSN,0.56
1.70233E+12,11-12-2023 17:15,11-12-2023 17:23,blw-Zb0hZGk909as18nEG,0.67
1.70233E+12,11-12-2023 17:15,11-12-2023 17:24,KfT152GqKJGNXkxx5Uktn,0.81
1.70233E+12,11-12-2023 17:15,11-12-2023 17:25,_uGHAClwK89xfNh-tOyvw,0.53
1.70233E+12,11-12-2023 17:15,11-12-2023 17:21,cWJlwubHHtPeRT-UIpwH3,0.87
1.70233E+12,11-12-2023 17:48,11-12-2023 18:05,2EkNBUOvgtxpkqfzZzbt3,0.6
1.70233E+12,11-12-2023 17:15,11-12-2023 17:36,kAeWRKPPWnYCbvge6f7CD,1
1.70233E+12,11-12-2023 17:23,11-12-2023 17:31,_yBU3m_DCV-XGBjs8aPlp,1
1.70233E+12,11-12-2023 17:15,11-12-2023 17:21,_fNzwRMMMnriThThSK0fm,0.17
1.70233E+12,11-12-2023 17:15,11-12-2023 17:30,0KfVWOuLQzaWOFEQhm0CI,0.45
1.70233E+12,11-12-2023 17:15,11-12-2023 17:18,jhpv0f98e4h58olOQANxa,0.73
1.70233E+12,11-12-2023 17:15,11-12-2023 17:36,ZHcJsppc6pZYEV63cA3rN,1
1.70233E+12,11-12-2023 17:15,11-12-2023 17:19,iMNc_iuYE2Kb0YIgxCfzC,1
1.70233E+12,11-12-2023 17:15,11-12-2023 17:22,eWi6vYk35SS-XC0Q87rgQ,0.77
1.70233E+12,11-12-2023 17:16,11-12-2023 17:25,iIiSfm_3E0_COG0-Yn5FY,0.76
1.70233E+12,11-12-2023 17:16,11-12-2023 17:22,E8mnJxSj50tkXQtgrpIkN,0.82
1.70233E+12,11-12-2023 17:16,11-12-2023 17:20,DvlMaqu7ByN__YzH7_foV,0.27
1.70233E+12,11-12-2023 17:24,11-12-2023 17:38,tOHHNOo4ts366M8xWu0Y5,0.28
1.70233E+12,11-12-2023 17:16,11-12-2023 17:32,YkUmVVtz78dr58xpHZ19c,0.54
1.70233E+12,11-12-2023 17:16,11-12-2023 17:25,BoNpU9e-ObWI3hem1avc1,0.81
1.70233E+12,11-12-2023 17:16,11-12-2023 17:24,U35uoSPz0K2AQnRVCsEZz,1
1.70233E+12,11-12-2023 17:16,11-12-2023 17:25,grLmcntxzPX95rBNdOuc0,0.69
1.70233E+12,11-12-2023 17:16,11-12-2023 17:23,2uCv0Pfy5sVQLBd20xTvb,0.47
1.70233E+12,11-12-2023 17:17,11-12-2023 17:24,P4PapoUAIWBe31Rkb0A43,0.22
1.70233E+12,11-12-2023 17:16,11-12-2023 17:21,zrvly2D_3SPgd5iw6xsqB,0.87
1.70233E+12,11-12-2023 17:16,11-12-2023 17:22,KuEibp0uchYmUvzSZgINB,0.73
1.70233E+12,11-12-2023 17:16,11-12-2023 17:19,aWrDidqCWEjwColxuVsy5,0.75
1.70233E+12,11-12-2023 17:16,11-12-2023 17:28,8MKSf92P-KG5oSJ6sZ13M,0.87
1.70233E+12,11-12-2023 17:17,11-12-2023 17:29,1Ebc7LYyEWwNQZ0_UDeku,0.78
1.70233E+12,11-12-2023 17:16,11-12-2023 17:29,2OBD_KJAu5GNkuMIPAvOs,0.88
1.70233E+12,11-12-2023 17:16,11-12-2023 17:21,RGH2aoFnaLEmJRucuQuT4,0.06
1.70233E+12,11-12-2023 17:17,11-12-2023 17:23,uJQ-5svjYoxVqdSWwvgBy,0.87
1.70233E+12,11-12-2023 17:17,11-12-2023 17:23,P9RKkr0vRAjNRr0lHnENG,1
1.70233E+12,11-12-2023 17:17,11-12-2023 17:22,qfverz87wxyJ87_COiL1l,0.8
1.70233E+12,11-12-2023 17:17,11-12-2023 17:25,h_ZdE4gT5Sk7KBmli2icC,0.37
1.70233E+12,11-12-2023 17:17,11-12-2023 17:19,3d0YMz03mtQF3lVGmBbiJ,0
1.70233E+12,11-12-2023 17:17,11-12-2023 17:21,iF8F6iYGaUs3sNkiJFChq,0.7
1.70233E+12,11-12-2023 17:17,11-12-2023 17:22,ShtOBK8xqbt6cDSmSlDNz,0.3
1.70233E+12,11-12-2023 17:17,11-12-2023 17:31,jaXB64jqpyVFRtEJ4ng8c,0.97
1.70233E+12,11-12-2023 17:17,11-12-2023 17:29,1VEspmtIF7Rjr0EmzWKHP,0.94
1.70233E+12,11-12-2023 17:17,11-12-2023 17:24,3lgcPs7mX1q-DhspeIJmf,0.87
1.70233E+12,11-12-2023 17:18,11-12-2023 17:38,gMOPo07iZjOaEyZiVAQvs,0.56
1.70233E+12,11-12-2023 17:17,11-12-2023 17:23,mWdu9Pe1OfYLM0fxJum4v,0.89
1.70233E+12,11-12-2023 17:17,11-12-2023 17:27,NvJmN-uMx6ccmtBYMk6q4,0.65
1.70233E+12,11-12-2023 17:18,11-12-2023 17:35,4LJUnrgI4hxb1PCgyqBJB,0.8
1.70233E+12,11-12-2023 17:18,11-12-2023 17:32,gRa_5RYSEc4nyOeOOXgC2,1
1.70233E+12,11-12-2023 18:09,11-12-2023 18:12,fgh40a5eVgfDI9N741scc,0.75
1.70233E+12,11-12-2023 17:18,11-12-2023 17:30,UJdYlb6RFMk31HKlihM75,0.89
1.70233E+12,11-12-2023 17:18,11-12-2023 17:23,2tGw5uYgFwZJ4Ir6sDgKn,1
